;meta[language=en]
; id      |key(hex)|key(str)| text
   1078471|00000000||Villard, sən qoca tilki! Mən bilirəm harada borclarının çoxunu ödəmək üçün kifayət qədər pul yığa bilərsən. Ora Velen-dir. Quru arvadın qurdurmasından başqa heç nə deməyən axmaqlara qulaq asma — onlar şəkəri nəcisdən ayıra bilmirlər! Orada yaxşı qazanc əldə etmək olar. Bir cırtdan ikiqat qazana bilər, sözümün üstündə dur. Nəysə, plan budur. Velen-dən təxminən bir həftəlik yol məsafəsində, meşədə səyahət çantaları ilə dolaşan bir neçə yaxşı geyinmiş oğlan gördüm. Qaçqınlardır, bilirsən necə adamlardır — müharibədən qaçırlar və kim birinci onlara çatsa, alt paltarlarına qədər soyub-tökə bilər. Nə demək istədiyimi başa düşdün, dostum? Sandığı götür, Pontar boyunca sürətlə keç və başqalarından əvvəl onların bütün üzüklərini, boyunbağılarını, nə varsa götür! Amma yolda kəskin baltan olsun, Velen canavarlarla doludur. Amma nəhayət, bu hamısı yaxşı bir məqsəd üçündür. Və bu da cibini doldurur! Sənin köhnə dostun Gruggen
   1078472|00000000||İnsanlar pul üçün hər şeyi edirlər. Yalan danışırlar, bir-birlərini aldatırlar, hətta ölüləri də soyurlar. Villard və Gruggen də istisna deyildilər. Onlardan əvvəl gələnlərin çoxu kimi, bu yolda ölmüşdülər. Ehtimal ki, ərazidə dolaşan bir nekrofaq onları parçalayıb. Bunu qəza adlandırmaq olar. Xoşbəxtlikdən, Geraltın belə "qəzalar"a qarşı möhkəm sığortası var idi. Məsələn, kürəyində daşıdığı qılınclar kimi.
   1086993|00000000||Geralt məktub yazan adam deyildi, amma təcrübələri ona bir şeyi öyrətmişdi: ölülərin maraqlı məktubları olur. Buna görə də səfərlərindən birində bir cəsəd yığınını yaxınlaşmış və onları yoxlamağa qərar vermişdi.
   1078473|00000000||Yerli duyğularından istifadə edərək basqınçıların qiymətli əşyalarını tapın.
   1086994|00000000||Tapdığınız məktubu oxuyun.
   1078470|00000000||Bir ovuc sikkə müqabilində...
   466292|c02c3cd2||Mühafizəçi
   350496|43078142||Döyüşçü
   302053|67827706||Məbəd Mühafizəçisi
   392738|05dc6a8f||Ruh
   1008713|00000000||Xoş gün!
   1008707|00000000||Hörmətlə.
   1008705|00000000||Bu satanistdir.
   1008703|00000000||Bir anlıq dayan.
   1062219|00000000||Geralt Qarğanın Yuvasını ziyarət edəndə hələ Qanlı Baronun arvadı Anna Strenger ilə tanış olmamışdı. Efsunger oraya çatmazdan bir müddət əvvəl bu qadın qızı Tamara ilə birlikdə izah olunmaz hallarda yoxa çıxmışdı. Lakin Geralt yoxa çıxmış qadının ətraflı təsvirini əldə etmişdi. Anna qırx yaşlarında, yaşıl gözlü, qara saçlı cazibədar qadın idi; saçları boynunun arxasında bərabər sıx topa bağlanmış, qarğanın qanadlarını xatırladırdı. 
   1062220|00000000||Geralt öyrəndi ki, Annanın evlilik həyatı qadının əvvəlcə ümid etdiyi kimi getməyib. O, yaxınlarda hamilə qalmışdı, lakin yoxa çıxmasından qısa müddət əvvəl naməlum səbəblərdən uşağına görə hamiləlik pozulmuşdu. 
   1062221|00000000||Geralt baronu bu məsələ ilə bağlı sıxışdıranda, çirkin həqiqət nəhayət üzə çıxdı. Ümidini itirmiş və tamamilə bədbəxt olan Anna sərxoş əri tərəfindən qəddar şəkildə döyüldükdən sonra Tamara ilə birlikdə qaçmışdı. Baron Anna-nın onların etdikləri səbəbdən düşmüzdü, amma Geralt buna o qədər də inanmırdı. Büyücüdən aldığı, pis qüvvələri uzaqlaşdırmaq üçün nəzərdə tutulmuş qəribə amulet Geraltın ağlından getmirdi.
   1062222|00000000||Geraltla ürəkdən-ürəyə söhbətdə baron evlilik həyatlarının necə cərəyan etdiyinə dair vacib məqamları açıqladı. Baron hərbi kampaniyalarda olarkən Anna uşaqlıq dostunun qucağına atılırdı.Baron həqiqəti öyrənəndə qəzəbləndi və Anna-nın sevgilisini öldürdü. Təbii ki, bu, cütlüyün onsuz da zəif olan münasibətlərini daha da gərginləşdirdi.
   1062235|00000000||Anna-nı axtararkən Geralt onu tamamilə heyrətləndirən bir həqiqətlə üzləşdi. Anna ilə bataqlıqdakı ağsaçlı qadın əslində eyni şəxs imiş. Onun əlindəki izlər Qoca Qadınlarla bağladığı sirli paktın izləri kimi görünürdü.
   1062236|00000000||Geralt Anna'nın Qarğalar Qayasına getdikdən sonra nəhəng canavarların əlinə keçib qaranlıq bir yerə aparıldığını öyrənəndə vəziyyət daha da ümidsizləşdi. Sanki bu da azmış kimi, şahidlər iddia edirdilər ki, hadisə baş verməzdən əvvəl Annanın əli qəribə, parlaq bir simvalla işıq saçmışdı.Bəlkə də cadugərdən aldığı amulet onu bundan qorumaq üçün nəzərdə tutulmuşdu?
   1062245|00000000||Bu arada Tamara yenidən anasının acınacaqlı vəziyyətini Geraltın gözü qarşısında açıb göstərirdi. Baronun sərxoş vəhşiliyi, hər şeyi darmadağın etməsi və onların çəkdiyi döyülmələr nəhayət onlar üçün dözülməz olmuşdu. Onlar evdən qaçmışdılar. Anna ərindən o qədər nifrət edirdi ki, ondan və daşıdığı uşaqdan qurtulmaq üçün hər şeyə hazır idi.
   1062246|00000000||Geralt əldə etdiyi məlumatları bir araya gətirib bataqlıqdakı qadının əslində baronun itkin arvadı Anna olduğunu başa düşdü. O öyrəndi ki, onun əllərindəki işarələr istəmədiyi uşaqdan qurtulmaq üçün Qoca Arvadlarla bağladığı paktın simvolu idi.
   1062249|00000000||Anna nəhayət tapıldı, lakin şahid olduğu və iştirak etdiyi hadisələr onun həm zehninə, həm də bədəninə o qədər dərin təsir göstərmişdi ki, bir daha heç nə əvvəlki kimi olmayacaqdı. Anna baş verənlərin ağırlığını artıq daşıya bilmirdi; qorxu və bədbəxtliyin qaçılmaz dərinliklərində ilişib qalmışdı.
   1062250|00000000||Anna nəhayət tapılsa da, özünü itirmişdi; dəhşətli bir sehr onu canavara çevirmişdi. Sehrbaz qadın Anna ilə bunu kim etdiyini yaxşı bilirdi.
   1062251|00000000||Geraltın şübhələri tezliklə təsdiqləndi. Bu bədbəxt qadını bu vəziyyətə gətirən lənət həqiqətən Qoca Arvadların işi idi. Görünür, Anna baronun uşağının doğulmasının qarşısını almaq üçün bu dəhşətli bacılara müraciət etmişdi.Cadugərlər Anna'nın tələbini öz qaranlıq üsulları ilə yerinə yetirdilər: onlar Anna'nın bətnindəki dölün içəridən çürüməsinə səbəb olacaq bir lənət oxudular, lakin bu lənət həm də Anna'nın həyat gücünü tükəndirəcəkdi. Başqa çarəsi qalmayan Anna sehrbazdan kömək istədi. Sehrbaz Anna'ya demonik lənətin təsirlərini blok edəcək bir talisman verdi. Anna baronla döyüşərkən bu talismanı itirdi və beləliklə Qoca Arvadların sehrinə qarşı müdafiəsiz qaldı. İndi ən pis nəticənin qarşısını alacaq heç nə qalmadı. Annanın avuçlarındakı işarələr yanmağa başladı və bir demon onu Hunchback's Bed-ə sürüklədi. Anna Qoca Arvadlara göstərdikləri mərhəmətin əvəzinə qul kimi xidmət edəcəkdi.
   1062252|00000000||Geralt Anna üzərində tutmuş şeytani sehrin təsirini qırdı və onu əvvəlki özünə qaytardı. Lakin Qoca Qadınlar sehrə intiqamın son damlasını da əlavə etmişdilər, bu da Anna azadlığını bərpa etdiyi anda öləcəyini təmin edirdi.Anna yalnız sevdiklərinin vidalaşdığını eşitmək üçün kifayət qədər yaşadı.
   1062355|00000000||Geralt Annanı əsir edən sehrin təsirini qırdı və onu əvvəlki özünə qaytardı. Lakin Qoca Qadınların hiyləsi hələ bitməmişdi. Sehr Anna azadlığını bərpa etdiyi anda onun ölümünə səbəb olmaq üçün qurulmuşdu. Tamara və baron nəhayət Anna ilə görüşdükləri anda, o, qısa müddət sonra öldü.
   1062356|00000000||Bütün cəhdlərə baxmayaraq, Efsunger Anna üzərindəki lənəti qaldıra bilmədi. Anna Strenger dəhşətli bir ölümlə dünyasını dəyişdi və bu, şahidləri qorxu və ümidsizliyə qərq etdi. Qoca Qadınların intiqamın sonuncu hərəkəti Annanı külə çevirmişdi.
   1062218|00000000||Anna Strenger
   1076563|00000000||Xarakter - Mutagenlər
   1076564|00000000||Mutagenləri almaz formalı yuvalara yerləşdirərək aktiv edin. Hər yuvanın yanında kvadrat şəklində Qabiliyyət yuvaları sırası yerləşir. Aktivləşdirilmiş mutagenlər xarakterin statistikasına xüsusi bonuslar verir. Müxtəlif növ (rəng) mutagenlər müxtəlif növ bonuslar verir. Mutagenin eyni rəngdə olduğu yuvanın yanındakı yuvaya yerləşdirilən hər Qabiliyyət həmin mutagenin bonusunu 100% artırır. Beləliklə, yuva sırasındakı üç bacarıq qonşu mutagenin rənginə uyğun gəldikdə, mutagenin bonusu 300% artır. Rəngi qonşu mutagenlə uyğun gəlməyən bacarıqlar mutagenin bonusuna heç bir təsir göstərmir: onu nə artırır, nə də azaldır.
   1043074|00000000||*Köksələyərək* Demək, haymı sən öldürmüsən. *Köksələyərək* Cerysin Udalrykun yerinə tuzağa saldiyi haymı?
   1043086|00000000||Qırğının arxasındakı günahkarı tapmaqda yaxşı iş görmüsən. Leydi Brana utanc! Ona utanc!
   537454|00000000||Eh.
   395595|00000000||Ehem, ehem, ehem, ehem…
   395587|00000000||Ehem, ehem.
   395591|00000000||Orada kimdir?
   395593|00000000||Hə?
   395589|00000000||Nə?
   395597|00000000||Tanrılar adıma!
   395601|00000000||İlahilər!
   395599|00000000||Mənim ilahəm, məni xilas et!
   537450|00000000||*Öskürək, öskürək* Məncə soyuqlamışam.
   540233|00000000||Qoyunun sürüsünə göz qoymaq əvəzinə o, fleyta yonurdu. Canavarlar gəldikdə demək olar ki, bitirmişdi.
   540235|00000000||Freyanın müqəddəs döşləri naminə!
   540517|00000000||Bax, gəlin belə edək: Holgerin basqınlarından birinə qoşul, sonra qəniməti taverna açmaq üçün istifadə edək! Razısan?
   540518|00000000||İndi nə var?
   537452|00000000||İlahilər cəsurları qorusun!
   537456|00000000||Ugh!
   537458|00000000||*Ehem ehem ehem* Məni döyüşdə ölməyə qoy, Freya.
   472643|062190b2||Lessy
   538259|00000000||Bəlkə də sənin yeganə qayğı göstərdiyin şəxs Laradır.
   538261|00000000||Bəlkə də bütün bu illərdən sonra sən məhz Laraya nəzarət etməyi ümid edirsən.
   538262|00000000||Lara öldü. Yeganə ümidim odur ki, Ciri vəzifəsini yerinə yetirsin və sağ qalsın.
   538348|00000000||Sənə inanıram.
   538351|00000000||Sənə inanıram.
   538353|00000000||Bilirəm. Əks halda məni Ciri-yə beş yüz metr yaxınlaşmağa qoymazdın.
   538355|00000000||Laboratoriyanda kimsə ilə tanış oldum.
   538372|00000000||Beləmi?
   538374|00000000||Mm-hmm. Dişi bir elf. O iddia edir ki, sən Ciri-yə qarşı nifrət bəsləyirsən. Bu, nə olursa-olsun, onu qorumağa çalışdığın səylərlə necə uzlaşır?
   538376|00000000||Bu heç cür uyğun gəlmir.
   566019|00000000||Həqiqətən də hisslərimi sənə etiraf etməyimi gözləmirsən, elə deyilmi?
   538260|00000000||Laboratoriyanda kimsə ilə qarşılaşdım.
   1073980|00000000||Laboratoriyana baş çəkdim.
   530545|00000000||Laboratoriyana baş çəkdim.
   530546|00000000||Güman edirəm ki, yeri qarışdırmamısan.
   538001|00000000||Sən Aen Elle pəriləri üçün Ciri-nin qabiliyyətləri barədə əsas məlumat mənbəyi olduğunu deməmişdin.
   538002|00000000||Mən demədiyim çox şey var. Şükür ki, onlar artıq əhəmiyyət daşımır.
   538119|00000000||Qədim Qan geni ilə apardığın təcrübələr… Deməli, onlar vacib deyil?
   538122|00000000||Mən o tədqiqatları Ciri-ni qorumaq üçün apardım. Lara Dorren qanından olanı qorumaq üçün, hansı damarlardan axmasından asılı olmayaraq.
   1075192|00000000||Dialoq - Söhbətləri bitirmə
   1075193|00000000||<<ICO_DialogEnd>> ilə işarələnmiş dialoq seçimləri söhbəti bitirir.
   1077642|00000000||Konflikt
   1077643|00000000||Vesemirin hücum etməsini gözlə.
   1077606|00000000||<I>Xalq inancına görə, su cadıları boğulmuşların arvadlarıdır. Əgər bu doğrudursa, onların belə bir sürü pişik olması təəccüblü deyil.</I> – Dregsdonlu Shembel Bəzi nağıllara görə, su cadıları və bataqlıq qızları səyahətçiləri bataqlıqdakı dağılmış çəpərlərinə cəlb etmək üçün itkin düşmüş qoca qadın paltarına bürünürlər. Əslində yalnız kor adam və ya düzgün görə bilməyəcək qədər sərxoş olan kimsə su cadısının çürük, murdar sığınacağını zərif bir kotteja, dəhşətli cadını isə günahsız qoca qadına oxşada bilər. Onların qırışlı, siğillərlə örtülmüş bədənləri demək olar ki, iki metr hündürlüyündədir. Dəri rəngləri uzun müddətdir ölü bir cəsədin rənginə bənzəyir və onlar palçıqla balığın iyrənc qarışığı qoxusunu yayırlar. Onların kürəklərindən uzun, sümükli bir quruluş çıxır; saçları dolaşıq dəniz yosununa oxşayır, canavar pəncələrini xatırladan pəncələr isə bu mənzərəni tamamlayır.
   1077607|00000000||Garkolanlarla tez-tez ov yerlərini paylaşan su cadıları və bataqlıq qızları dayaz çaylar, çaylar və bataqlıqlar ətrafında yaşayırlar. Ağırlıqlarına baxmayaraq, onlar əla üzgüçülərdir. Qeyri-adi çevikliklə hətta qalın palçıq qatları arasından da üzə bilirlər. Onlar qurbanlarının arxasından peyda olub, oraqvari dırnaqları ilə hücum etməyə hazırdırlar. Həmçinin palçıq topları düzəldib onları rəqiblərinə ataraq müvəqqəti korlayırlar. Su cadıları güclü yağış zamanı xüsusilə aktiv və təhlükəlidirlər. Lakin belə vaxtlarda bütün nəmsevən məxluqlara qarşı effektiv silah olan Igni işarəsinin istifadəsi məhduddur.
   1077484|00000000||Su Cadıları
   432590|d184d9f7||Canavar
   1073365|00000000||Dırmanma
   1073366|00000000||Əngəlləri aşmaq üçün <<PAD_LSUp>> çubuğunu itələyin və <<Jump>> düyməsini basın.
   1000223|060363c3||Yagna
   532416|7fbe6f3e||Zəngin şəhər qadını
   580018|d00dc371||Gəmiqayırma işçisi
   470231|0d2919bb||Qoca qadın
   1054248|00000000||Geralt, Novigradın altındakı tunellərdə olarkən (Mən də orada idim və deməliyəm ki, bu, turistik gəzinti üçün yer deyil. Əgər iy səni öldürməsə, canavarlar öldürəcək) o, çox illər əvvəl itirilmiş mədəniyyətlərin qalıqlarını üzə çıxarmaq üçün qazıntılar aparan bir alimlə qarşılaşdı. Professor Geraltdan qədim sarkofaqın qapağını qaldırmaqda kömək etməyi xahiş etdi.
   1054251|00000000||Geralt biliklərini işə salmağa qərar verdi və alimə sarkofaqı açmaqda kömək etdi. Onlar içəridə quru bir skelet tapacaqlarını gözləyirdilər, amma əvəzinə diri, qanpərəst vampir ortaya çıxdı. Əvvəlcə vampir dostyana yanaşdı, orada dincələrkən bir az sakitlik və rahatlıq istədiyini dedi. Lakin alim bu xahişi nəzərə almaq niyyətində deyildi. Geralt onu saxlaya bilmədi və vampir qəzəblənərək həm Geralta, həm də bezdirici alimə hücum etdi. İndi Geraltın istəyi olmasa da, vampiri öldürməkdən başqa yolu qalmadı.
   1011726|00000000||Əgər sarkofaqda kömək etmək istəyirsinizsə, Professor Vairmonta qayıdın.
   1011729|00000000||Vampirı öldür.
   1011723|00000000||Torpağa Dəfn Olunmuş Kitab
   1225006|00000000||Yeni Qılınc və Zireh Dəsti – Min Çiçək
   1225007|00000000||Dol Blathanna-dan Min Çiçəklər zireh və qılınc dəstləri Vizimadakı Kraliq Sarayındakı sandıqda, orada Yenneferlə görüşdükdən sonra tapılacaq.
   171010|c51bb659||Pirata
   550645|317d6e70||Qadın
   1211194|00000000||Sürətli Giriş Menyusu
   1211195|00000000||Kamağınızla istifadə edə biləcəyiniz boltları dəyişdirmək üçün <<GUI_Radial_Select_Bolts>> düyməsindən istifadə edin.
   577978|fcd21ea9||Yarım pint
   1190792|00000000||Statistika
   1190800|00000000||Xarakterinizi fırlatmaq üçün <<IK_LeftMouse>> düyməsini basıb saxlayın və siçanı hərəkət etdirin. <<IK_MiddleMouse>> təkərindən yaxınlaşdırmaq və uzaqlaşdırmaq üçün istifadə edin. Kamera mövqeyini dəyişmək üçün <<IK_RightMouse>> düyməsini basıb saxlayın və siçanı hərəkət etdirin.
   1187946|00000000||Boyalar - Önizləmə
   1187947|00000000||Bir əşyanın üzərinə boya tətbiq edildikdən sonra necə görünəcəyini görmək üçün önizləmə seçimini istifadə edə bilərsiniz. Bunu etmək üçün boya seçin, <<GUI_PAD_Preview>> düyməsini basın və boyamaq istədiyiniz əşyanı seçin.
   1087241|00000000||Dünya Xəritəsi
   1087242|00000000||<<PAD_LS_LeftRight>>-dən istifadə edərək <font color="#CD7D03">Dünya Xəritəsi</font>-ni seçin və <<GUI_Select>> düyməsini basın.
   424566|00000000||Soyuq.
   424564|00000000||Yeyin.
   1036991|00000000||Blaa-ahh!
   1036993|00000000||Mən yeyəcəyəm, sən axmaqsan.
   1036989|00000000||Əzmək.
   1036995|00000000||Sən!
   1055658|22a35b33||Siçan
   1037057|00000000||Hemdall üçün!
   1037055|00000000||Heymaey!
   1037059|00000000||Bəli?
   1037061|00000000||Bir az sakitləş.
   1049076|00000000||Sənət kimi, həyat da faciələrlə doludur və Keira Metz-in hekayəsinin sonu bədbəxtliklər zəncirinə əlavə olunub. O, Siçan Qalasından əldə etdiyi veba ilə bağlı qeydlərlə Kral Radovidin hüzuruna çıxdı. Vebanı Radovidin düşmənlərinə qarşı silah çevirmək imkanı müqabilində padşah əfvini əldə etməyi ümid edirdi. Lakin o, vacib bir detal gözardı etmişdi. Şeytanla heç vaxt razılaşma bağlama, xüsusən də o şeytan ordulara və cadugərlərə qarşı amansız nifrət bəsləyirsə. Radovid istehza ilə gülərək Keirani həbs etdirib çarmıxa çəkdirdi. Keira böyük əzab içində öldü və ölümü zamanı onun Radovidə və onun krallığına qarşı qışqırışları Novigrad küçələrində əks-səda verdi. Geralt şəhərə qayıdanda, Triss ondan Keiranın cəsədini geri qaytarmaqda və ona layiq olduğu kimi dəfn mərasimi keçirməkdə kömək istədi. Geralt Trissin xahişini yerinə yetirdi və mühafizəçilərlə kiçik bir qarşıdurmadan sonra Keiranın cəsədini geri ala bildi. Harada olsa işıq saçan, şən cadugəranı tanıyan hər kəs üçün bu kədərli bir axşam idi, amma Triss və Geralt ən azından Keiraya layiq olduğu hörməti göstərə bildiklərinə görə məmnun idilər.
   1049077|00000000|| [DIQQET: Tercume İtib və ya Birləsib] Geralt, Triss'in isteğini yerine getirdi ve muhafızlarla yaşanan ufak bir sorundan sonra Keira'nın bedenini alabildi. Hayattayken etrafına ışık saçan, neşe dolu sahireyi tanıyan herkes için hüzünlü bir akşamdı ancak Triss ve Geralt, en azından kendilerince Keira'ya hak ettiği saygıyı gösterebildikleri için hoşnuttular.
   1048542|00000000||Gecə yarısı baş meydanda Triss ilə görüş.
   1048543|00000000||Mühafizələri keçin.
   1048544|00000000||Keiranın cəsədini geri alın.
   1049075|00000000||Son bir xahiş
   1190790|00000000||Statistika
   1190803|00000000||Xarakterinizi <<PAD_RS_LeftRight>> düymələri ilə fırlada, <<PAD_RS_UpDown>> düymələri ilə yaxınlaşdıra və uzaqlaşdıra, <<Cross_UpDown>> düymələri ilə kamera mövqeyini dəyişə bilərsiniz.
   1055244|b45443e2||Zəngin kəndli
   313590|acc55a20||Quldur
   557310|00000000||Qonşu qapıdakı qadın burun axmasını dayandırmaq üçün talismanlar satırdı. O, xeyli sayda satdı.
   557312|00000000||Amma sonra onu dirəyə bağlayıb yandırdılar.
   557318|00000000||Bir şey lazımdır, cənab?
   557340|00000000||Hər ağıllı müştəri dərhal anlayacaq ki, Pontarın bu tərəfində ən yaxşı qiymətləri mən təklif edirəm.
   557314|00000000||Əgər bu gün ala bilərsənsə, niyə sabahadək təxirə salasan?
   557316|00000000||Salam, əziz dostum!
   557320|00000000||Bağışlayın!
   557322|00000000||Cənab… O qılıncdan nə etməyi düşünürsünüz?
   557323|00000000||Mənə zərər vermə…
   557325|00000000||Hələ istəyərkən istədiyini seç…
   557327|00000000||Bu stendi bağladığımdan sonra məni gələn həftəyə qədər görməyəcəksiniz!
   557338|00000000||Qaçın, hamınız! Hər kəs üçün kifayət qədər stokum yoxdur!
   1085128|00000000||Sprint
   1085129|00000000||Sprint etmək üçün qaçarkən <<Sprint>> düyməsini basın.
   1009530|00000000||Axı!
   1009528|00000000||Nə var, necə gedir?!
   1009522|00000000||Heh, heh, heh, huu…
   1009526|00000000||Nə pis gündür.
   1009524|00000000||Pfffft. Taxta vurun!
   1009512|00000000||Axılsan?
   1009510|00000000||Get başımdan!
   1019184|00000000||Nə olub?!
   563867|00000000||Hə?
   563869|00000000||Oooooh.
   563871|00000000||Ehhhhhh.
   171353|39b3095b||Redaniya əsgəri
   1047830|069826f1||Daş Troll
   1077597|00000000||<I>Əgər bataqlıqda olarkən gecə düşsə, yerində qal və səhəri gözlə. Hətta belədərinədək suda, şalvarına sürünən pirelərlə olsa belə, bir əzələyini belə tərpətmə. Ən əsası, dumanlıqda işıq görsəniz, heç vaxt, heç vaxt ona doğru getməyin.</I> – Johannes Strudd, bələdçi Duman səyahətçinin düşmənidir. O, sizi meşədə yolunuzu itirməyə və ya dənizdə qayalara doğru sürükləməyə səbəb ola bilər. Lakin bu təhlükələr bəzən duman içində dolaşan 'siscil' adlanan canavarlarla müqayisədə solğun qalır. Bu məxluqların qolları və pəncələri Zerikanya bıçaqları qədər güclüdür, amma onları həqiqətən təhlükəli edən aldatma, hiylə və yanlış istiqamətə yönəltmə sənətinə yiyələnmələridir. Çox vaxt onlar hətta hücum da etmirlər. Bunun əvəzinə, qurbanlarını dəliyə çıxarıb bataqlıqlara çəkir və palçıqlı sularında boğulmalarını səbrlə gözləyirlər.
   1077596|00000000||Siscillər sıx dumanlı ərazilərdə – bataqlıqlarda, dağ keçidlərində və çay və göl sahillərində – peyda olurlar. Əgər duman yoxdursa, onu özləri çağırır və ya yaradırlar. Küləkdən təsirlənmədən sürətlə sıxlaşan hava Siscillin hücum hazırlığında olduğuna əmin işarədir. Sıx duman buludları təkcə Siscillləri gizlətmir, həm də onların silahı rolunu oynayır. Dumana nəzarət etməklə onlar səyahətçiləri bir-birindən ayırır, izlərini gizlədir və səslərini boğurlar. Parlaq böcəklər kimi, onların bədənləri zəif işıq saçır və duman içində yolunu itirənləri özlərinin sığınacaq qurduqları keçidlərə, bataqlıqlara və ya mağaralara cəlb edir. Səyahətçi onları təqib edən siscilə hücum etməyə cəhd etsə belə, siscil zərbə dəyənə qədər havada yoxa çıxır. Həmçinin deyilir ki, bəzi siscillər insan cadugərlərinin yaratdıqları kimi mürəkkəb illüziyalar yarada bilərlər. Bunun həqiqət olub-olmaması, yoxsa bu sirli məxluqlar haqqında uydurulmuş başqa bir qaranlıq əfsanə olması naməlumdur. Siscillərlə döyüşən cadugər nə olursa-olsun, sakitliyini qoruyub panikaya qapılmamalıdır. Siscillər ruhani formaya keçə bildikləri üçün, otların xışıltısı və ya havada zəif bir titrəmə sehrbaz üçün onların varlığını göstərən yeganə əlamətlər ola bilər. Bu məxluqlara qarşı Aard işarəsinin tətbiqi onları fiziki formaya qaytarır və kılıçlar və digər silahlarla hücum etməyə imkan verir.
   1077481|00000000||Sisciller
   166469|d6a00ba0||Kəndli
   1043714|ca37d28d||Arçura
   1060713|00000000||Skellige-də olarkən, Geralt nəhayət Crach-ın iki övladından kiçiyi olan Cerys an Craite ilə görüşmək fürsəti əldə etdi. Dostları arasında Qartal ləqəbi ilə tanınan Cerys, adının da göstərdiyi kimi, iddialı və çevik idi. Cerys əsl ada sakini idi və atasının eynisi idi; cəsarətini, qətiyyətini və inadkarlığını ondan miras almışdı. Çəkindirmədən, o, hər hansı bir tapşırığı, hətta böyük qardaşı Hjalmar da daxil olmaqla, hər kəs qədər yaxşı—və bəlkə də onlardan daha yaxşı—yerinə yetirə biləcəyini sübut etməyə qərarlı idi.
   1060714|00000000||Cerysin Skellige taxtını ələ keçirmək istəyi bir çoxlarını şoka salmışdı, lakin o, hərəkətə keçməzdən əvvəl bu məsələni ciddi şəkildə düşünmüşdü. Həmişə olduğu kimi, qardaşını üstələmək istəyən Cerys böyük şöhrət və şərəf gətirəcək bir macəraya atılmağa can atırdı. Elə buna görə də o, Yarl Udalryki lənətlənmiş kimi görünən qəribə xəstəlikdən sağaltmaq üçün Spikeroog adasına yelkən açmışdı.
   1060715|00000000||Cerys missiyasını uğurla başa vurdu; cadugərin köməyi ilə o, illərdir onu əzab verən ruhdan Brokvar tayfasının liderini azad etdi.
   1060716|00000000||Cerys varislik mübarizəsində qardaşı Hjalmar qarşısında məğlubiyyətini ləyaqətlə qəbul etdi. Eyni zamanda o, Skellige-nin yeni liderinə tam dəstəyini bildirdi.
   1060717|00000000||Atmaca bir daha hiyləsini göstərərək Birna'nın planını ifşa etdi və klanının adını Kaer Trolde'dəki şər "qanlı ziyafət"dən təmizlədi.
   1060718|00000000||Bütün etdiklərindən sonra Skelliglilər gördülər ki, Cerys kraliça olmağa layiqdir. Gənc kraliçanın atasının təsirindən və qardaşının kölgəsindən tamamilə qurtulması vaxt alsa da, adalıların əksəriyyəti seçdikləri liderdən məmnun və qürurlu idi.
   1060719|00000000||Təəssüf ki, Krachın qızı qardaşı ilə birlikdə Nilfgaard donanmasına uğursuz hücum zamanı həlak oldu. Skellige xalqı cəsur Şahinanın erkən ölümünü uzun müddət yas tutdu.
   1060712|00000000||Cerys an Craite
   1053176|00000000||Geralt Uldvik sahilindəki kiçik bir çimərlikdə qayalara zəncirlənmiş bir adam gördü. Axın tərəfindən aparılmaq təhlükəsi ilə üzləşən adam böhtana məruz qaldığını və qətldə haqsız yerə ittiham olunduğunu and içdi.
